ProductCategoryID,CategoryName,ProductSubCategoryID,SubCategoryName,ProductID,ProductName,SellingPrice,Weight_KG,Product description,Image_source,Image_Confidence,Image_Status,Corrected_Image_Source
DGS01,Dry grocery & staples,DGS01-LD02,"Lentils, dal & pulses",DGS01-LD02-P0001,RISHANA URAD DAL 1KG,2.99,1,"Rishana Urad Dal 1KG is a nutritious pulse ingredient, rich in plant-based protein and dietary fibre for wholesome UK meals.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Pack size: 1kg.
Listed at £2.99 for UK retail and wholesale supply.
Perfect for dals, soups, stews, curries and salad preparations.
A versatile store-cupboard essential for home cooks and professional kitchens.
Popular with customers seeking authentic world food and healthy eating options.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",https://images.openfoodfacts.org/images/products/000/014/000/0116/front_en.3.400.jpg,90,CORRECT,https://images.openfoodfacts.org/images/products/000/014/000/0116/front_en.3.400.jpg
DGS01,Dry grocery & staples,DGS01-WS05,Whole spices & herbs,DGS01-WS05-P0001,TOPOP-ROASTED AJWAIN SEEDS100G,1.59,0.1,"Topop-roasted Ajwain Seeds100g is a whole spice or herb ingredient that brings fresh aroma and authentic flavour when ground or tempered.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Pack size: 100g.
Listed at £1.59 for UK retail and wholesale supply.
Perfect for tempering, grinding and traditional spice blends.
Essential for curries, pickles, rice dishes and marinades.
A must-stock item for world food and specialist grocery ranges.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",NOT_FOUND,0,NOT_FOUND,NOT_FOUND
DGS01,Dry grocery & staples,DGS01-LD02,"Lentils, dal & pulses",DGS01-LD02-P0002,TRS ROSECOCO BEANS,6.99,,"Trs Rosecoco Beans is a nutritious pulse ingredient, rich in plant-based protein and dietary fibre for wholesome UK meals.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Listed at £6.99 for UK retail and wholesale supply.
Perfect for dals, soups, stews, curries and salad preparations.
A versatile store-cupboard essential for home cooks and professional kitchens.
Popular with customers seeking authentic world food and healthy eating options.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",https://images.openfoodfacts.org/images/products/501/768/906/5249/front_en.3.400.jpg,90,CORRECT,https://images.openfoodfacts.org/images/products/501/768/906/5249/front_en.3.400.jpg
DGS01,Dry grocery & staples,DGS01-SP03,Spices & masalas,DGS01-SP03-P0002,WHOLE CHILL 1KG,12.99,1,"Whole Chill 1KG is a carefully blended seasoning that adds authentic aroma and depth to a wide range of dishes.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Pack size: 1kg.
Listed at £12.99 for UK retail and wholesale supply.
Ideal for curries, marinades, rice dishes, grills and everyday cooking.
A trusted choice for ethnic food retailers and catering suppliers.
Helps deliver consistent flavour in both retail and food service kitchens.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",https://images.openfoodfacts.org/images/products/890/290/122/4993/front_en.4.400.jpg,75,CORRECT,https://images.openfoodfacts.org/images/products/890/290/122/4993/front_en.4.400.jpg
DGS01,Dry grocery & staples,DGS01-LD02,"Lentils, dal & pulses",DGS01-LD02-P0003,YELLOW SPLIT PEAS- 500G,1.59,0.5,"Yellow Split Peas- 500G is a nutritious pulse ingredient, rich in plant-based protein and dietary fibre for wholesome UK meals.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Pack size: 500g.
Listed at £1.59 for UK retail and wholesale supply.
Perfect for dals, soups, stews, curries and salad preparations.
A versatile store-cupboard essential for home cooks and professional kitchens.
Popular with customers seeking authentic world food and healthy eating options.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",https://images.openfoodfacts.org/images/products/501/025/155/5742/front_en.3.400.jpg,100,CORRECT,https://images.openfoodfacts.org/images/products/501/025/155/5742/front_en.3.400.jpg
FRP04,Fresh produce,FRP04-RV01,Root vegetables & onions,FRP04-RV01-P0002,2KG - POTATO BAG,1.99,2,"2KG - Potato Bag is fresh root vegetables or onions selected for quality, flavour and versatility in UK kitchens.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Pack size: 2kg.
Listed at £1.99 for UK retail and wholesale supply.
Supplied as bag pack format.
Ideal for curries, roasts, soups, stews and everyday cooking.
Perfect for greengrocers, supermarkets and catering suppliers.
Best stored cool and used promptly for optimum freshness.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",NOT_FOUND,0,NOT_FOUND,NOT_FOUND
FRP04,Fresh produce,FRP04-RV01,Root vegetables & onions,FRP04-RV01-P0003,2KG BOMBAY ONION,3.49,2,"2KG Bombay Onion is fresh root vegetables or onions selected for quality, flavour and versatility in UK kitchens.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Pack size: 2kg.
Listed at £3.49 for UK retail and wholesale supply.
Ideal for curries, roasts, soups, stews and everyday cooking.
Perfect for greengrocers, supermarkets and catering suppliers.
Best stored cool and used promptly for optimum freshness.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",NOT_FOUND,0,NOT_FOUND,NOT_FOUND
FRP04,Fresh produce,FRP04-RV01,Root vegetables & onions,FRP04-RV01-P0004,4KG POTATO BAG,3.99,4,"4KG Potato Bag is fresh root vegetables or onions selected for quality, flavour and versatility in UK kitchens.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Pack size: 4kg.
Listed at £3.99 for UK retail and wholesale supply.
Supplied as bag pack format.
4kg bulk pack.
Ideal for curries, roasts, soups, stews and everyday cooking.
Perfect for greengrocers, supermarkets and catering suppliers.
Best stored cool and used promptly for optimum freshness.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",NOT_FOUND,0,NOT_FOUND,NOT_FOUND
DGS01,Dry grocery & staples,DGS01-ND07,"Nuts, dry fruits & seeds",DGS01-ND07-P0001,ALMONDS,7.99,,"Almonds is a premium nut, seed or dried fruit product ideal for snacking, cooking and festive preparations.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Listed at £7.99 for UK retail and wholesale supply.
Perfect for desserts, trail mixes, baking and traditional sweets.
Popular during Ramadan, Diwali and other seasonal retail peaks.
A high-demand line for world food and health food sections.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",https://images.openfoodfacts.org/images/products/002/113/029/3483/front_en.20.400.jpg,90,CORRECT,https://images.openfoodfacts.org/images/products/002/113/029/3483/front_en.20.400.jpg
FRP04,Fresh produce,FRP04-EV04,Exotic & specialty vegetables,FRP04-EV04-P0001,ALOE VERA,1,,"Aloe Vera is specialty or exotic produce items bringing authentic world food ingredients to UK retailers.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Listed at £1.00 for UK retail and wholesale supply.
Ideal for ethnic grocers and adventurous mainstream shoppers.
Perfect for traditional recipes and specialty fresh displays.
A distinctive line for differentiated produce assortments.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",https://images.openfoodfacts.org/images/products/088/439/400/7285/front_en.19.400.jpg,90,CORRECT,https://images.openfoodfacts.org/images/products/088/439/400/7285/front_en.19.400.jpg
FRP04,Fresh produce,FRP04-EV04,Exotic & specialty vegetables,FRP04-EV04-P0002,ALOVERA,4.99,,"Alovera is specialty or exotic produce items bringing authentic world food ingredients to UK retailers.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Listed at £4.99 for UK retail and wholesale supply.
Ideal for ethnic grocers and adventurous mainstream shoppers.
Perfect for traditional recipes and specialty fresh displays.
A distinctive line for differentiated produce assortments.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",https://images.openfoodfacts.org/images/products/922/007/959/7671/front_en.3.400.jpg,90,CORRECT,https://images.openfoodfacts.org/images/products/922/007/959/7671/front_en.3.400.jpg
FRP04,Fresh produce,FRP04-EV04,Exotic & specialty vegetables,FRP04-EV04-P0003,ALPHONSO MANGO,1,,"Alphonso Mango is specialty or exotic produce items bringing authentic world food ingredients to UK retailers.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Listed at £1.00 for UK retail and wholesale supply.
Ideal for ethnic grocers and adventurous mainstream shoppers.
Perfect for traditional recipes and specialty fresh displays.
A distinctive line for differentiated produce assortments.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",https://images.openfoodfacts.org/images/products/501/860/523/8617/front_en.3.400.jpg,90,CORRECT,https://images.openfoodfacts.org/images/products/501/860/523/8617/front_en.3.400.jpg
FRP04,Fresh produce,FRP04-EV04,Exotic & specialty vegetables,FRP04-EV04-P0004,ALPHONSO MANGO BOX,9.99,,"Alphonso Mango Box is specialty or exotic produce items bringing authentic world food ingredients to UK retailers.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Listed at £9.99 for UK retail and wholesale supply.
Supplied as box pack format.
Ideal for ethnic grocers and adventurous mainstream shoppers.
Perfect for traditional recipes and specialty fresh displays.
A distinctive line for differentiated produce assortments.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",NOT_FOUND,0,NOT_FOUND,NOT_FOUND
FRP04,Fresh produce,FRP04-EV04,Exotic & specialty vegetables,FRP04-EV04-P0005,AMBERLA,1,,"Amberla is specialty or exotic produce items bringing authentic world food ingredients to UK retailers.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Listed at £1.00 for UK retail and wholesale supply.
Ideal for ethnic grocers and adventurous mainstream shoppers.
Perfect for traditional recipes and specialty fresh displays.
A distinctive line for differentiated produce assortments.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",NOT_FOUND,0,NOT_FOUND,NOT_FOUND
FRP04,Fresh produce,FRP04-EV04,Exotic & specialty vegetables,FRP04-EV04-P0006,AMLA,9.99,,"Amla is specialty or exotic produce items bringing authentic world food ingredients to UK retailers.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Listed at £9.99 for UK retail and wholesale supply.
Ideal for ethnic grocers and adventurous mainstream shoppers.
Perfect for traditional recipes and specialty fresh displays.
A distinctive line for differentiated produce assortments.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",https://images.openfoodfacts.org/images/products/069/592/443/3128/front_en.3.400.jpg,90,CORRECT,https://images.openfoodfacts.org/images/products/069/592/443/3128/front_en.3.400.jpg
FRP04,Fresh produce,FRP04-EV04,Exotic & specialty vegetables,FRP04-EV04-P0007,ANANAS MELON,1,,"Ananas Melon is specialty or exotic produce items bringing authentic world food ingredients to UK retailers.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Listed at £1.00 for UK retail and wholesale supply.
Ideal for ethnic grocers and adventurous mainstream shoppers.
Perfect for traditional recipes and specialty fresh displays.
A distinctive line for differentiated produce assortments.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",https://images.openfoodfacts.org/images/products/205/854/102/3758/front_en.3.400.jpg,90,CORRECT,https://images.openfoodfacts.org/images/products/205/854/102/3758/front_en.3.400.jpg
FRP04,Fresh produce,FRP04-EV04,Exotic & specialty vegetables,FRP04-EV04-P0008,ANNAMUNA FRUIT,1,,"Annamuna Fruit is specialty or exotic produce items bringing authentic world food ingredients to UK retailers.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Listed at £1.00 for UK retail and wholesale supply.
Ideal for ethnic grocers and adventurous mainstream shoppers.
Perfect for traditional recipes and specialty fresh displays.
A distinctive line for differentiated produce assortments.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",NOT_FOUND,0,NOT_FOUND,NOT_FOUND
FRP04,Fresh produce,FRP04-EV04,Exotic & specialty vegetables,FRP04-EV04-P0009,APPLE PACK,1,,"Apple Pack is specialty or exotic produce items bringing authentic world food ingredients to UK retailers.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Listed at £1.00 for UK retail and wholesale supply.
Supplied as pack pack format.
Ideal for ethnic grocers and adventurous mainstream shoppers.
Perfect for traditional recipes and specialty fresh displays.
A distinctive line for differentiated produce assortments.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",https://images.openfoodfacts.org/images/products/505/008/323/6303/front_en.12.400.jpg,90,CORRECT,https://images.openfoodfacts.org/images/products/505/008/323/6303/front_en.12.400.jpg
FRP04,Fresh produce,FRP04-EV04,Exotic & specialty vegetables,FRP04-EV04-P0010,APRICOT,1.99,,"Apricot is a premium nut, seed or dried fruit product ideal for snacking, cooking and festive preparations.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Listed at £1.99 for UK retail and wholesale supply.
Perfect for desserts, trail mixes, baking and traditional sweets.
Popular during Ramadan, Diwali and other seasonal retail peaks.
A high-demand line for world food and health food sections.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",https://images.openfoodfacts.org/images/products/622/102/499/1714/front_en.15.400.jpg,90,CORRECT,https://images.openfoodfacts.org/images/products/622/102/499/1714/front_en.15.400.jpg
FRP04,Fresh produce,FRP04-EV04,Exotic & specialty vegetables,FRP04-EV04-P0011,ARAGON FRUIT,1,,"Aragon Fruit is specialty or exotic produce items bringing authentic world food ingredients to UK retailers.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Listed at £1.00 for UK retail and wholesale supply.
Ideal for ethnic grocers and adventurous mainstream shoppers.
Perfect for traditional recipes and specialty fresh displays.
A distinctive line for differentiated produce assortments.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",NOT_FOUND,0,NOT_FOUND,NOT_FOUND
FRP04,Fresh produce,FRP04-GV03,"Gourds, pods & vegetables",FRP04-GV03-P0003,ARTICHOKES,1,,"Artichokes are fresh vegetables offering wholesome nutrition and authentic flavour for diverse UK cuisines.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Listed at £1.00 for UK retail and wholesale supply.
Ideal for curries, stir-fries, roasts and traditional recipes.
Popular with South Asian, African and Caribbean customer bases.
Suitable for fresh produce counters and wholesale catering.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",https://images.openfoodfacts.org/images/products/408/870/006/9158/front_en.3.400.jpg,90,CORRECT,https://images.openfoodfacts.org/images/products/408/870/006/9158/front_en.3.400.jpg
FRP04,Fresh produce,FRP04-GV03,"Gourds, pods & vegetables",FRP04-GV03-P0004,ARVI,8.99,,"Arvi is fresh vegetables offering wholesome nutrition and authentic flavour for diverse UK cuisines.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Listed at £8.99 for UK retail and wholesale supply.
Ideal for curries, stir-fries, roasts and traditional recipes.
Popular with South Asian, African and Caribbean customer bases.
Suitable for fresh produce counters and wholesale catering.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",https://images.openfoodfacts.org/images/products/257/884/200/282/0/front_en.400.jpg,90,CORRECT,https://images.openfoodfacts.org/images/products/257/884/200/282/0/front_en.400.jpg
FRP04,Fresh produce,FRP04-EV04,Exotic & specialty vegetables,FRP04-EV04-P0012,ASH BANANA,7.99,,"Ash Banana is specialty or exotic produce items bringing authentic world food ingredients to UK retailers.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Listed at £7.99 for UK retail and wholesale supply.
Ideal for ethnic grocers and adventurous mainstream shoppers.
Perfect for traditional recipes and specialty fresh displays.
A distinctive line for differentiated produce assortments.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",https://images.openfoodfacts.org/images/products/081/004/801/3494/front_en.5.400.jpg,90,CORRECT,https://images.openfoodfacts.org/images/products/081/004/801/3494/front_en.5.400.jpg
FRP04,Fresh produce,FRP04-EV04,Exotic & specialty vegetables,FRP04-EV04-P0013,ASH PLANTAIN,1,,"Ash Plantain is specialty or exotic produce items bringing authentic world food ingredients to UK retailers.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Listed at £1.00 for UK retail and wholesale supply.
Ideal for ethnic grocers and adventurous mainstream shoppers.
Perfect for traditional recipes and specialty fresh displays.
A distinctive line for differentiated produce assortments.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",NOT_FOUND,0,NOT_FOUND,NOT_FOUND
FRP04,Fresh produce,FRP04-GV03,"Gourds, pods & vegetables",FRP04-GV03-P0005,ASHGOURD,9.99,,"Ashgourd is fresh vegetables offering wholesome nutrition and authentic flavour for diverse UK cuisines.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Listed at £9.99 for UK retail and wholesale supply.
Ideal for curries, stir-fries, roasts and traditional recipes.
Popular with South Asian, African and Caribbean customer bases.
Suitable for fresh produce counters and wholesale catering.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",NOT_FOUND,0,NOT_FOUND,NOT_FOUND
FRP04,Fresh produce,FRP04-EV04,Exotic & specialty vegetables,FRP04-EV04-P0014,ASPARAGUS,1,,"Asparagus are specialty or exotic produce items bringing authentic world food ingredients to UK retailers.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Listed at £1.00 for UK retail and wholesale supply.
Ideal for ethnic grocers and adventurous mainstream shoppers.
Perfect for traditional recipes and specialty fresh displays.
A distinctive line for differentiated produce assortments.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",https://images.openfoodfacts.org/images/products/085/141/300/3108/front_en.3.400.jpg,90,CORRECT,https://images.openfoodfacts.org/images/products/085/141/300/3108/front_en.3.400.jpg
FRP04,Fresh produce,FRP04-GV03,"Gourds, pods & vegetables",FRP04-GV03-P0006,AUBERGINE,1,,"Aubergine is fresh vegetables offering wholesome nutrition and authentic flavour for diverse UK cuisines.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Listed at £1.00 for UK retail and wholesale supply.
Ideal for curries, stir-fries, roasts and traditional recipes.
Popular with South Asian, African and Caribbean customer bases.
Suitable for fresh produce counters and wholesale catering.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",https://images.openfoodfacts.org/images/products/132/512/125/120/0/front_en.400.jpg,90,CORRECT,https://images.openfoodfacts.org/images/products/132/512/125/120/0/front_en.400.jpg
FRP04,Fresh produce,FRP04-EV04,Exotic & specialty vegetables,FRP04-EV04-P0015,AVOCADO,1,,"Avocado is specialty or exotic produce items bringing authentic world food ingredients to UK retailers.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Listed at £1.00 for UK retail and wholesale supply.
Ideal for ethnic grocers and adventurous mainstream shoppers.
Perfect for traditional recipes and specialty fresh displays.
A distinctive line for differentiated produce assortments.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",https://images.openfoodfacts.org/images/products/061/611/216/953/7/front_en.400.jpg,90,CORRECT,https://images.openfoodfacts.org/images/products/061/611/216/953/7/front_en.400.jpg
FRP04,Fresh produce,FRP04-EV04,Exotic & specialty vegetables,FRP04-EV04-P0016,BABY ASPARAGUS,1,,"Baby Asparagus are specialty or exotic produce items bringing authentic world food ingredients to UK retailers.

Supplied for wholesale and retail customers across the UK, this product is well suited to busy kitchens, shop shelves and food service operations.

Listed at £1.00 for UK retail and wholesale supply.
Ideal for ethnic grocers and adventurous mainstream shoppers.
Perfect for traditional recipes and specialty fresh displays.
A distinctive line for differentiated produce assortments.

Ideal for supermarkets, convenience stores, independent retailers, cafés, catering businesses and food service customers across the UK.",https://images.openfoodfacts.org/images/products/004/256/300/749/2/front_en.400.jpg,90,CORRECT,https://images.openfoodfacts.org/images/products/004/256/300/749/2/front_en.400.jpg
